tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,88.2647373252,15.527732384,0.0,0,0,0
blue,86.2647373252,21.527732384,0.0,0,0,0
yellow,92.2667104712,16.0431851583,0.0,0,0,0
blue,90.2667104712,22.0431851583,0.0,0,0,0
yellow,96.2686836171,16.5586379326,0.0,0,0,0
blue,94.2686836171,22.5586379326,0.0,0,0,0
yellow,100.270656763,17.0740907069,0.0,0,0,0
blue,98.2706567631,23.0740907069,0.0,0,0,0
yellow,104.272629909,17.5895434812,0.0,0,0,0
blue,102.272629909,23.5895434812,0.0,0,0,0
yellow,108.274603055,18.1049962555,0.0,0,0,0
blue,106.274603055,24.1049962555,0.0,0,0,0
yellow,112.276576201,18.6204490297,0.0,0,0,0
blue,110.276576201,24.6204490297,0.0,0,0,0
yellow,116.278549347,19.135901804,0.0,0,0,0
blue,114.278549347,25.135901804,0.0,0,0,0
yellow,120.280522493,19.6513545783,0.0,0,0,0
blue,118.280522493,25.6513545783,0.0,0,0,0
yellow,124.282495639,20.1668073526,0.0,0,0,0
blue,122.282495639,26.1668073526,0.0,0,0,0
yellow,128.284468785,20.6822601269,0.0,0,0,0
blue,126.284468785,26.6822601269,0.0,0,0,0
yellow,132.286441931,21.1977129012,0.0,0,0,0
blue,130.286441931,27.1977129012,0.0,0,0,0
yellow,134.369071224,21.4626052489,0.0,0,0,0
blue,132.369071224,27.4626052489,0.0,0,0,0
blue,136.69514633,27.5602824271,0.0,0,0,0
yellow,137.989187185,21.4552957947,0.0,0,0,0
blue,137.989187185,27.4552957947,0.0,0,0,0
yellow,142.107681583,21.0574332326,0.0,0,0,0
blue,142.107681583,27.0574332326,0.0,0,0,0
yellow,146.226175982,20.6595706705,0.0,0,0,0
blue,146.226175982,26.6595706705,0.0,0,0,0
yellow,150.344670381,20.2617081084,0.0,0,0,0
blue,150.344670381,26.2617081084,0.0,0,0,0
yellow,154.46316478,19.8638455463,0.0,0,0,0
blue,154.46316478,25.8638455463,0.0,0,0,0
yellow,158.581659179,19.4659829842,0.0,0,0,0
blue,158.581659179,25.4659829842,0.0,0,0,0
yellow,162.700153578,19.0681204221,0.0,0,0,0
blue,162.700153578,25.0681204221,0.0,0,0,0
yellow,166.818647977,18.67025786,0.0,0,0,0
blue,166.818647977,24.67025786,0.0,0,0,0
yellow,170.937142376,18.272395298,0.0,0,0,0
blue,170.937142376,24.272395298,0.0,0,0,0
yellow,175.055636774,17.8745327359,0.0,0,0,0
blue,175.055636774,23.8745327359,0.0,0,0,0
yellow,179.174131173,17.4766701738,0.0,0,0,0
blue,179.174131173,23.4766701738,0.0,0,0,0
yellow,183.292625572,17.0788076117,0.0,0,0,0
blue,183.292625572,23.0788076117,0.0,0,0,0
yellow,187.411119971,16.6809450496,0.0,0,0,0
blue,187.411119971,22.6809450496,0.0,0,0,0
yellow,191.52961437,16.2830824875,0.0,0,0,0
blue,191.52961437,22.2830824875,0.0,0,0,0
yellow,195.648108769,15.8852199254,0.0,0,0,0
blue,195.648108769,21.8852199254,0.0,0,0,0
yellow,199.766603168,15.4873573633,0.0,0,0,0
blue,199.766603168,21.4873573633,0.0,0,0,0
yellow,203.534659167,15.1233485123,0.0,0,0,0
blue,203.534659167,21.1233485123,0.0,0,0,0
yellow,207.733432581,15.0736956154,0.0,0,0,0
blue,207.723725839,21.2757363488,0.0,0,0,0
yellow,212.076198415,15.7523667805,0.0,0,0,0
blue,211.736882137,22.6240311622,0.0,0,0,0
yellow,216.107304903,16.7756019547,0.0,0,0,0
yellow,219.30197411,19.4313074603,0.0,0,0,0
blue,215.639380019,23.6465839865,0.0,0,0,0
yellow,222.885569493,21.3180113739,0.0,0,0,0
blue,218.352819274,26.6778884973,0.0,0,0,0
yellow,225.943848051,24.4750894376,0.0,0,0,0
blue,221.332450774,29.4329163628,0.0,0,0,0
yellow,228.747481649,28.1173465421,0.0,0,0,0
blue,222.300811158,33.3630266715,0.0,0,0,0
yellow,230.573497436,32.1155806508,0.0,0,0,0
yellow,230.611574247,32.2236840161,0.0,0,0,0
blue,222.611574247,34.2236840161,0.0,0,0,0
yellow,231.944262648,36.0073017997,0.0,0,0,0
blue,223.944262648,38.0073017997,0.0,0,0,0
yellow,233.276951049,39.7909195833,0.0,0,0,0
blue,225.276951049,41.7909195833,0.0,0,0,0
yellow,234.60963945,43.5745373669,0.0,0,0,0
blue,226.60963945,45.5745373669,0.0,0,0,0
yellow,235.94232785,47.3581551505,0.0,0,0,0
blue,227.94232785,49.3581551505,0.0,0,0,0
yellow,237.275016251,51.1417729341,0.0,0,0,0
blue,229.275016251,53.1417729341,0.0,0,0,0
yellow,238.607704652,54.9253907178,0.0,0,0,0
blue,230.607704652,56.9253907178,0.0,0,0,0
yellow,239.940393053,58.7090085014,0.0,0,0,0
blue,231.940393053,60.7090085014,0.0,0,0,0
yellow,241.273081454,62.492626285,0.0,0,0,0
blue,233.273081454,64.492626285,0.0,0,0,0
yellow,242.605769855,66.2762440686,0.0,0,0,0
blue,234.605769855,68.2762440686,0.0,0,0,0
yellow,243.89290443,69.9337527875,0.0,0,0,0
blue,235.89290443,71.9337527875,0.0,0,0,0
yellow,244.652478788,73.8795863663,0.0,0,0,0
blue,236.914991931,75.8596986437,0.0,0,0,0
yellow,244.988763975,78.6655226955,0.0,0,0,0
blue,236.731403194,79.887213001,0.0,0,0,0
yellow,244.580192801,82.7300671706,0.0,0,0,0
yellow,243.766502291,86.6614143751,0.0,0,0,0
blue,235.352757455,83.7254917615,0.0,0,0,0
yellow,242.021551827,90.3550034254,0.0,0,0,0
blue,233.628972577,87.3980560463,0.0,0,0,0
yellow,239.511998857,93.548165038,0.0,0,0,0
blue,230.828906049,90.3724601272,0.0,0,0,0
yellow,236.684988443,96.4969723074,0.0,0,0,0
yellow,233.076058516,98.4045906219,0.0,0,0,0
blue,227.329170393,92.3731667256,0.0,0,0,0
yellow,229.940667749,100.996744548,0.0,0,0,0
yellow,228.145800613,101.639333456,0.0,0,0,0
blue,224.145800613,93.6393334562,0.0,0,0,0
yellow,224.307421482,103.397937798,0.0,0,0,0
blue,220.307421482,95.3979377978,0.0,0,0,0
blue,217.07449612,97.8968549649,0.0,0,0,0
yellow,220.776088045,105.936540505,0.0,0,0,0
blue,213.993203324,100.78328499,0.0,0,0,0
blue,211.933237612,104.55860061,0.0,0,0,0
yellow,217.73270053,108.886596948,0.0,0,0,0
blue,209.346553073,107.629149047,0.0,0,0,0
yellow,216.804563721,113.067913301,0.0,0,0,0
blue,208.367196894,111.541855393,0.0,0,0,0
yellow,215.776431577,116.947267537,0.0,0,0,0
blue,207.720329564,115.714073778,0.0,0,0,0
blue,207.771727403,119.786589855,0.0,0,0,0
yellow,215.962553632,121.312165283,0.0,0,0,0
blue,208.557781635,123.934837959,0.0,0,0,0
yellow,217.326361511,125.108536988,0.0,0,0,0
blue,209.634011592,127.813157932,0.0,0,0,0
blue,212.322509468,130.828918275,0.0,0,0,0
yellow,218.53963499,129.146177202,0.0,0,0,0
blue,214.474149014,134.53378108,0.0,0,0,0
yellow,221.849451121,131.875824726,0.0,0,0,0
blue,217.650260659,137.315535635,0.0,0,0,0
blue,220.932071185,139.73892914,0.0,0,0,0
yellow,225.615121324,134.091890546,0.0,0,0,0
blue,224.827123006,141.36816666,0.0,0,0,0
yellow,229.312306706,135.765689503,0.0,0,0,0
blue,228.822183705,142.055631708,0.0,0,0,0
yellow,233.500429213,136.299986665,0.0,0,0,0
blue,233.65363462,142.301399643,0.0,0,0,0
yellow,234.121208669,136.285178301,0.0,0,0,0
blue,234.121208669,142.285178301,0.0,0,0,0
orange,234.121208669,139.285178301,0.0,0,0,0
